ranker,budget_ratio,frontier_page_ratio,draft_offset,num_rows,num_samples,candidate_recall_of_full_query_pages,restricted_page_recall_vs_full_query,attention_recovery_vs_full_query,attention_recovery_vs_oracle,full_query_recovery_vs_oracle,candidate_oracle_upper_bound_recovery,near_full_query_mass_rate,near_full_query_joint_rate
pre_rope_future_corrected_endpoint_mean,0.1,0.01,4,16800,21,0.8043452390762312,0.8043452390762312,0.9341564088447231,0.895590373954445,0.9620474899605929,0.9145338621015733,0.7601190476190476,0.6564880952380953
pre_rope_future_corrected_endpoint_mean,0.1,0.01,5,16800,21,0.8022916676015371,0.8022916676015371,0.9335093164758312,0.8956174623817416,0.9627760756917166,0.914415883146918,0.7605952380952381,0.6543452380952381
pre_rope_future_corrected_endpoint_mean,0.1,0.01,6,16800,21,0.7992361120347465,0.7992361120347465,0.9329163992400118,0.8950021340043822,0.9623024345629233,0.9132913921706641,0.7570833333333333,0.6492261904761905
pre_rope_future_corrected_endpoint_mean,0.1,0.01,7,16800,21,0.8038690485432745,0.8038690485432745,0.9367576568816202,0.8999476695380108,0.9635957309131382,0.9180677825081832,0.768154761904762,0.6567261904761905
pre_rope_future_corrected_endpoint_mean,0.1,0.01,8,16800,21,0.8043750009330966,0.8043750009330966,0.9364868973692307,0.9000874189513499,0.9639410834091207,0.9177971686177927,0.7666666666666667,0.657797619047619
pre_rope_future_corrected_endpoint_mean,0.1,0.02,1,16800,21,0.8115674612192171,0.8115674612192171,0.917936004160792,0.8815305039395882,0.9640899411912597,0.9001927755209685,0.7622619047619048,0.677202380952381
pre_rope_future_corrected_endpoint_mean,0.1,0.02,2,16800,21,0.8115575406203668,0.8115575406203668,0.9262236785148183,0.8887958155676899,0.9632677930966982,0.9080329822528538,0.7638095238095238,0.6749404761904761
pre_rope_future_corrected_endpoint_mean,0.1,0.02,3,16800,21,0.8055654771413122,0.8055654771413122,0.9311958622971491,0.8920117167380122,0.9617649870703824,0.9119187252503574,0.7580357142857143,0.6608333333333334
pre_rope_future_corrected_endpoint_mean,0.1,0.02,4,16800,21,0.8043452390762312,0.8043452390762312,0.9341564088447231,0.895590373954445,0.9620474899605929,0.9145338621015733,0.7601190476190476,0.6564880952380953
pre_rope_future_corrected_endpoint_mean,0.1,0.02,5,16800,21,0.8022916676015371,0.8022916676015371,0.9335093164758312,0.8956174623817416,0.9627760756917166,0.914415883146918,0.7605952380952381,0.6543452380952381
pre_rope_future_corrected_endpoint_mean,0.1,0.02,6,16800,21,0.7992361120347465,0.7992361120347465,0.9329163992400118,0.8950021340043822,0.9623024345629233,0.9132913921706641,0.7570833333333333,0.6492261904761905
pre_rope_future_corrected_endpoint_mean,0.1,0.02,7,16800,21,0.8038690485432745,0.8038690485432745,0.9367576568816202,0.8999476695380108,0.9635957309131382,0.9180677825081832,0.768154761904762,0.6567261904761905
pre_rope_future_corrected_endpoint_mean,0.1,0.02,8,16800,21,0.8043750009330966,0.8043750009330966,0.9364868973692307,0.9000874189513499,0.9639410834091207,0.9177971686177927,0.7666666666666667,0.657797619047619
pre_rope_future_corrected_endpoint_mean,0.1,0.05,1,16800,21,0.816269842001299,0.816269842001299,0.920052834179074,0.8836191814226743,0.9640899411912597,0.9026624932580942,0.7696428571428572,0.6876190476190476
pre_rope_future_corrected_endpoint_mean,0.1,0.05,2,16800,21,0.8160813500022605,0.8160813500022605,0.9282616475996123,0.8907934524110454,0.9632677930966982,0.9104587896866836,0.7716666666666666,0.6842261904761905
pre_rope_future_corrected_endpoint_mean,0.1,0.05,3,16800,21,0.8105853182662811,0.8105853182662811,0.9333079199216179,0.894060285686534,0.9617649870703824,0.9143284458360945,0.7658928571428572,0.6707142857142857
pre_rope_future_corrected_endpoint_mean,0.1,0.05,4,16800,21,0.8094841278042821,0.8094841278042821,0.9362061733120496,0.897596177233745,0.9620474899605929,0.9169299324736685,0.7686309523809524,0.6670238095238096
pre_rope_future_corrected_endpoint_mean,0.1,0.05,5,16800,21,0.8075099214148663,0.8075099214148663,0.9357492643780461,0.8977732395771928,0.9627760756917166,0.916887945802264,0.7701190476190476,0.6647619047619048
pre_rope_future_corrected_endpoint_mean,0.1,0.05,6,16800,21,0.804196429337774,0.804196429337774,0.9350649934778301,0.8970803992176236,0.9623024345629233,0.9156809222149471,0.7660714285714286,0.6594642857142857
pre_rope_future_corrected_endpoint_mean,0.1,0.05,7,16800,21,0.8090873023406381,0.8090873023406381,0.938761226364631,0.9018873411540802,0.9635957309131382,0.920407992862738,0.7770833333333333,0.6676785714285715
pre_rope_future_corrected_endpoint_mean,0.1,0.05,8,16800,21,0.8096924611074584,0.8096924611074584,0.9385954235231089,0.9021372699583884,0.9639410834091207,0.9202715049707091,0.7743452380952381,0.6679166666666667
previous_terminal_attention,0.1,0.01,1,16800,21,0.8370833340801653,0.8370833340801653,0.9697442450079702,0.9279212740061499,0.9640899411912597,0.9467000527428872,0.8448809523809524,0.7297023809523809
previous_terminal_attention,0.1,0.01,2,16800,21,0.8046031754623566,0.8046031754623566,0.9581035332359654,0.9138722603474908,0.9632677930966982,0.9305347282515446,0.799702380952381,0.6756547619047619
previous_terminal_attention,0.1,0.01,3,16800,21,0.7836507945596463,0.7836507945596463,0.9483757334546178,0.9036342159216724,0.9617649870703824,0.9213758793099635,0.7726785714285714,0.6423809523809524
previous_terminal_attention,0.1,0.01,4,16800,21,0.7717956358762015,0.7717956358762015,0.9428253738334487,0.899366567036678,0.9620474899605929,0.9161677239282728,0.7575,0.6200595238095238
previous_terminal_attention,0.1,0.01,5,16800,21,0.7636011914536357,0.7636011914536357,0.9414770933457475,0.8975761271157182,0.9627760756917166,0.9138667653338107,0.7489285714285714,0.6076190476190476
