sample_id,dataset_name,method,input_length,round_id,round_start_length,round_start_pages,budget_pages,draft_length,accepted_length,all_accepted,zero_accepted,generated_tokens_so_far,probe_query_count,probe_endpoint_coverage_vs_per_query_attention_oracle,probe_best_static_coverage_vs_per_query_attention_oracle,probe_endpoint_fraction_of_eligible_attention,probe_best_static_fraction_of_eligible_attention,probe_best_static_absolute_coverage_gain,fixed_reference_recall_of_query_pages_pos_1,fixed_reference_recall_of_query_pages_pos_2,fixed_reference_recall_of_query_pages_pos_3,fixed_reference_recall_of_query_pages_pos_4,fixed_reference_recall_of_query_pages_pos_5,fixed_reference_recall_of_query_pages_pos_6,fixed_reference_recall_of_query_pages_pos_7,fixed_reference_recall_of_query_pages_pos_8,oracle_overlap_pos_1_2,oracle_overlap_pos_2_3,oracle_overlap_pos_3_4,oracle_overlap_pos_4_5,oracle_overlap_pos_5_6,oracle_overlap_pos_6_7,oracle_overlap_pos_7_8,oracle_overlap_pos_1_last,attention_recovery_pos_1,attention_recovery_pos_2,attention_recovery_pos_3,attention_recovery_pos_4,attention_recovery_pos_5,attention_recovery_pos_6,attention_recovery_pos_7,attention_recovery_pos_8
2wikimqa-145,2wikimqa,best_static_oracle,8192,1,8192,512,52,8,1,0,0,2,8,0.9676541218206411,0.987027989859783,0.8779767373992671,0.8955551314434177,0.017578394044150625,0.7473290598290598,0.7101195245726495,0.6786858974358974,0.7289830395299145,0.681640625,0.7071314102564102,0.720970219017094,0.7079660790598291,0.6122714196270064,0.5869727227900465,0.5455930154172263,0.5644427394706555,0.5576833912822315,0.5853663238393131,0.5798727636206196,0.5005116372622925,0.9814494802693887,0.8885709137908662,0.7791492438199469,0.7599160224797984,0.7242428375571609,0.7737336889610709,0.7180998488313782,0.7416657578408948
2wikimqa-145,2wikimqa,best_static_oracle,8192,2,8194,513,52,8,8,1,0,11,8,0.9660422634048714,0.989590277038582,0.885151962658912,0.9067282137963452,0.02157625113743311,0.7529213408119658,0.7691139155982906,0.8161224626068376,0.7827690972222222,0.7968916933760684,0.8006477029914529,0.8108807425213675,0.8032017895299145,0.6055198205098142,0.6337022549592429,0.6273997612719298,0.5831347076273584,0.7075370921511765,0.6855857520919482,0.7075154234777092,0.5733223328199792,0.9744329839896009,0.9786716209339564,0.9874122779893386,0.9658264531087138,0.9887757613487006,0.9884257312273815,0.9866049994766486,0.9884878863110169
2wikimqa-145,2wikimqa,best_static_oracle,8192,3,8203,513,52,8,6,0,0,18,8,0.963239010326447,0.990121865762927,0.8880238949067611,0.912807585906597,0.024783690999835906,0.7904981303418803,0.7693643162393162,0.7613514957264957,0.7910657051282051,0.8199786324786325,0.8233006143162394,0.7201188568376069,0.7499499198717949,0.6909823709547106,0.7423532117081055,0.7244238671955046,0.694931768942253,0.6721216169793167,0.5915958892901685,0.6543387070269224,0.5824591236924147,0.9844194005985687,0.9856267759953151,0.9837833757724176,0.9914112535408606,0.9887745100572118,0.9838473805508924,0.8609818139195641,0.8313296421946673
2wikimqa-145,2wikimqa,best_static_oracle,8192,4,8210,514,52,8,8,1,0,27,8,0.9334070900687327,0.9888468836724313,0.8618856304622537,0.9130774008818491,0.05119177041959533,0.7993122329059829,0.7999966613247863,0.7924846420940171,0.7943042200854701,0.7910323183760684,0.7884281517094016,0.8081764155982906,0.7852397168803419,0.697186426614582,0.6680541973254228,0.6558937242411509,0.5686307843997604,0.5773258834705773,0.6342367789513301,0.647682836782558,0.6139359429035199,0.986285719036696,0.9861731015601287,0.9862747237676877,0.9848820869228138,0.9811868963357467,0.9861894410366614,0.9869648524913589,0.9854437216966873
2wikimqa-145,2wikimqa,best_static_oracle,8192,5,8219,514,52,8,6,0,0,34,8,0.9567477803783544,0.988953549047248,0.8876168974439655,0.9174956022102067,0.029878704766241104,0.7701489049145299,0.7757077991452992,0.8050213675213675,0.805889423076923,0.8174245459401709,0.7929520566239316,0.7986778846153846,0.7824185363247863,0.6784281147903073,0.7059888761257388,0.6318161672716124,0.6918000911798026,0.6257829492328292,0.6136523620703238,0.7123392295438199,0.5651606302098172,0.9812933223913467,0.9814640591493224,0.9857990162768827,0.9855470729259324,0.9889781256799088,0.9792072777817165,0.9191650648143272,0.8738680550153091
2wikimqa-145,2wikimqa,best_static_oracle,8192,6,8226,515,52,8,8,1,0,43,8,0.9567830922583402,0.990084498700988,0.8901497405362372,0.921131933411789,0.030982192875551817,0.8224826388888888,0.8276909722222222,0.8011151175213675,0.8024505876068376,0.8078091613247863,0.8110476762820513,0.7692474626068376,0.7560596955128206,0.7354042456536792,0.6600075453983626,0.6743226669089987,0.6624057425091224,0.6533030997443956,0.6303555835561103,0.6786567428266632,0.5838958536597383,0.9888237078669864,0.98938193073365,0.9869977772156607,0.9885317999072937,0.988291070058842,0.9874911466601031,0.9848583889188416,0.9782485965898979
2wikimqa-145,2wikimqa,best_static_oracle,8192,7,8235,515,52,8,6,0,0,50,8,0.9721572160216967,0.992161692277748,0.906128996140839,0.9247747827373708,0.01864578659653182,0.8244524572649572,0.8189770299145299,0.809879139957265,0.7918502938034188,0.8249031784188035,0.7777610844017094,0.7410022702991452,0.6978999732905984,0.6858846513200763,0.6317361453976826,0.6893879008499197,0.6338123340968526,0.6223546175220469,0.6729854544691025,0.6365456795259073,0.5350812214913115,0.9884355980043201,0.9854619230917088,0.9904086863514556,0.9913329956968719,0.9887274968889859,0.9827649120459773,0.9064747771750115,0.8186667462491674
2wikimqa-145,2wikimqa,best_static_oracle,8192,8,8242,516,52,8,8,1,0,59,8,0.9774899739598751,0.9928554154179289,0.9164857781085468,0.9308922773523374,0.01440649924379056,0.807842548076923,0.7842381143162394,0.8196781517094016,0.833450186965812,0.8207966079059829,0.8359208066239316,0.8340511485042735,0.8195446047008548,0.7127782692031023,0.7523755798910202,0.7333945315469682,0.6737024435512592,0.6669857651392035,0.7047056228056053,0.6896067284893276,0.6674064837102253,0.9912074287101726,0.9893906322702115,0.9926614277657149,0.9926495185628177,0.9852092975791285,0.9912406139817332,0.9875524318492723,0.9902405899204668
2wikimqa-145,2wikimqa,best_static_oracle,8192,9,8251,516,52,5,5,0,0,64,5,0.9766940166932154,0.9939644568786045,0.9125327069403426,0.9286686115973428,0.01613590465700021,0.8126502403846154,0.7973924946581197,0.8375567574786325,0.8398771367521367,0.8233340010683761,,,,0.6961628076542798,0.7243381294989166,0.7055221079433918,0.685658715213902,,,,0.6068762096901609,0.9895549331437317,0.9924236457776598,0.9938011909172422,0.9908227864360231,0.9892293067612756,,,
2wikimqa-145,2wikimqa,oracle_b,8192,1,8192,512,52,8,8,1,0,9,,,,,,,0.9470986912393163,0.7121895032051282,0.7399005074786325,0.7071147168803419,0.6968315972222222,0.6425113514957265,0.6981002938034188,0.6914396367521367,0.5644372279223239,0.5776182123612364,0.6033333908148308,0.6336043045112146,0.6292203829743441,0.5836465367839969,0.7001260645764649,0.5466430310429374,0.9925457203776212,0.9930393040593289,0.991701331165759,0.9935525083788233,0.9917325355683013,0.9892160546806485,0.9943283253734378,0.9951920617452108
